tfopwg_disp,ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmdec,st_pmdecerr1,st_pmdecerr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_dist,st_disterr1,st_disterr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_rad,st_raderr1,st_raderr2
0,128.302319,-52.714202,-9.496,0.051,-0.051,14.659,0.045,-0.045,2459985.770425,0.003745,-0.003745,1.4415577,7.4e-06,-7.4e-06,2.349,0.682,-0.682,507.0,54.9645,-54.9645,3.61078,0.26004,-0.26004,16861.8,3174.0,9.5719,0.006,-0.006,208.055,1.1015,-1.1015,6902.0,135.7,-135.7,4.25,0.09,-0.09,1.52,0.06,-0.06
0,159.887704,-32.51188,-34.609,0.053,-0.053,14.667,0.057,-0.057,2459301.544126,0.000611,-0.000611,3.7039994,3.7e-06,-3.7e-06,4.277,0.599,-0.599,7590.0,1.22092,-1.22092,17.57,0.746573,-0.746573,3546.13,2149.0,9.6306,0.006,-0.006,300.696,3.3695,-3.3695,7013.8,299.6,-299.6,4.21,0.44,-0.44,1.9,0.08,-0.08
0,126.419468,-60.907514,-1.536,0.058,-0.058,-9.979,0.048,-0.048,2460177.867195,0.001123,-0.001123,1.3042553,2e-06,-2e-06,1.706,0.213,-0.213,914.0,628.954,-628.954,9.36472,1.30647,-1.30647,26944.7,3569.0,10.0119,0.006,-0.006,301.298,2.496,-2.496,6762.0,130.2,-130.2,4.11,0.08,-0.08,1.75,0.07,-0.07
0,144.581535,-67.505097,-35.412,0.104,-0.104,24.084,0.128,-0.128,2458544.79061,0.00092,-0.00092,0.62627,2e-05,-2e-05,0.666,0.169,-0.169,1880.0,68.5212,-68.5212,5.72162,0.894462,-0.894462,3235.57,2101.0,10.2355,0.006,-0.006,134.926,1.0555,-1.0555,5622.0,131.2,-131.2,4.5,0.07,-0.07,0.93,0.05,-0.05
0,136.527702,-54.903922,-10.863,0.096,-0.096,7.063,0.089,-0.089,2458518.376,0.00075,-0.00075,0.30412,1e-05,-1e-05,0.748,0.1,-0.1,1330.0,3.83107,-3.83107,10.417,0.668057,-0.668057,280833.0,6413.0,8.802,0.006,-0.006,440.426,9.484,-9.484,11892.0,235.8,-235.8,4.14,0.07,-0.07,2.52,0.09,-0.09
1,253.768848,-28.710584,-8.568,0.1,-0.1,-5.562,0.055,-0.055,2459363.821393,0.000699,-0.000699,2.1805277,2.7e-06,-2.7e-06,2.969175,0.040721,-0.040721,16340.1353205,426.89557,-426.89557,16.808853,0.8821375,-0.8821375,1770.4650539,1654.404068,11.0657,0.006,-0.006,314.995,7.0655,-7.0655,6599.0,200.0,-200.0,4.21017,1.96411,-1.96411,1.2714601,0.0635578,-0.0635578
1,337.510274,-75.646561,-63.327,0.046,-0.046,-1.942,0.044,-0.044,2458332.941229,0.002642,-0.002642,9.139804,0.0001109,-0.0001109,3.0912936,0.6627002,-0.6627002,358.4157801,33.721474,-33.721474,3.0629855,2.8175755,-2.8175755,243.011763,1006.9932829,9.0197,0.006,-0.006,129.804,0.5575,-0.5575,5958.2,76.0,-76.0,4.34,0.12,-0.12,1.58,0.165123,-0.165123
1,302.114174,-54.317501,1.594,0.054,-0.054,-15.903,0.049,-0.049,2460122.700139,0.019948,-0.019948,15.5077855,0.0002372,-0.0002372,4.565,0.427,-0.427,513.0,25.4443,-25.4443,2.43432,0.142957,-0.142957,88.0718,853.0,8.4362,0.006,-0.006,88.4343,0.28175,-0.28175,6122.0,194.0,-194.0,4.30881,0.268555,-0.268555,1.17,0.05,-0.05
1,293.286615,-54.532728,108.439,0.074,-0.074,-82.632,0.052,-0.052,2458661.062711,0.000867,-0.000867,17.4713078,1.76e-05,-1.76e-05,4.4284819,0.0990118,-0.0990118,1199.7541483,28.872627,-28.872627,3.5766828,0.2409907,-0.2409907,53.3700317,689.3568807,8.0888,0.006,-0.006,57.2651,0.18695,-0.18695,5783.54,7.82429,-7.82429,4.49925,0.019231,-0.019231,0.974669,0.0546984,-0.0546984
1,38.120968,-78.023683,107.847,0.045,-0.045,30.732,0.042,-0.042,2460177.200429,0.001332,-0.001332,4.1150576,5.6e-06,-5.6e-06,1.08,0.323,-0.323,487.0,50.8548,-50.8548,2.30057,0.16833,-0.16833,77.3573,826.0,9.478,0.006,-0.006,82.1733,0.1632,-0.1632,5394.0,185.0,-185.0,4.50942,0.276077,-0.276077,0.89,0.05,-0.05
1,296.003935,-47.56203,-3.457,0.124,-0.124,-100.891,0.072,-0.072,2458656.668478,0.001185,-0.001185,6.4438657,1.65e-05,-1.65e-05,1.9309449,0.3014965,-0.3014965,1121.9512275,76.157646,-76.157646,2.460344,1.638728,-1.638728,60.831305,712.2812841,10.0059,0.006,-0.006,68.0726,0.362,-0.362,4803.0,178.0,-178.0,4.52079,2.00348,-2.00348,0.737189,0.0567035,-0.0567035
1,296.003935,-47.56203,-3.457,0.124,-0.124,-100.891,0.072,-0.072,2458664.490132,0.001696,-0.001696,12.2265595,2.69e-05,-2.69e-05,2.1904379,0.4219775,-0.4219775,1206.3693293,86.60944,-86.60944,2.6014766,1.7533404,-1.7533404,25.8970378,575.3502049,10.0059,0.006,-0.006,68.0726,0.362,-0.362,4803.0,178.0,-178.0,4.52079,2.00348,-2.00348,0.737189,0.0567035,-0.0567035
1,289.479212,-32.860124,-16.778,0.108,-0.108,-31.803,0.089,-0.089,2460147.378764,0.000256,-0.000256,2.9776446,8e-07,-8e-07,2.962,0.099,-0.099,13022.0,123.052,-123.052,14.4339,0.765765,-0.765765,758.324,1461.0,10.4293,0.006,-0.006,197.996,3.038,-3.038,5703.0,188.0,-188.0,4.25824,0.298282,-0.298282,1.22,0.06,-0.06
1,280.184169,-58.459388,-27.094,0.052,-0.052,-30.897,0.048,-0.048,2458655.394059,0.000376,-0.000376,3.5544026,2e-06,-2e-06,2.0550535,0.0377042,-0.0377042,10164.8753396,290.74887,-290.74887,13.200677,0.7620152,-0.7620152,515.0014435,1214.9876435,11.5803,0.006,-0.006,290.198,2.937,-2.937,5639.0,188.0,-188.0,4.37172,2.00387,-2.00387,1.11499,0.0591758,-0.0591758
0,75.627307,-72.913998,1.679,0.043,-0.043,32.797,0.04,-0.04,2459211.732146,0.002195,-0.002195,12.8379689,0.0031236,-0.0031236,9.8464123,0.1878411,-0.1878411,10539.0192794,361.00934,-361.00934,25.4886382,1.376776,-1.376776,374.129,1225.0,11.7106,0.006,-0.006,703.878,10.696,-10.696,5765.0,189.0,-189.0,4.34773,2.00358,-2.00358,2.4494,0.11699,-0.11699
1,309.971209,-65.449699,-99.737,0.023,-0.023,-59.95,0.039,-0.039,2458654.249503,0.000554,-0.000554,0.6047392,5.6e-06,-5.6e-06,1.0403847,0.2214539,-0.2214539,1027.6833479,64.46101,-64.46101,1.8625587,1.4926332,-1.4926332,528.0253155,1222.5973095,11.1186,0.007,-0.007,61.4592,0.09435,-0.09435,4046.0,170.0,-170.0,4.60963,0.230678,-0.230678,0.580337,0.0172756,-0.0172756
1,306.928646,-56.462287,424.414,0.073,-0.073,-1230.62,0.073,-0.073,2458654.10332,0.000362,-0.000362,0.5182425,4.2e-06,-4.2e-06,0.8565249,0.0753501,-0.0753501,831.8920424,40.76848,-40.76848,1.3485121,0.0900143,-0.0900143,255.1405815,1019.3295979,10.1165,0.007,-0.007,20.373,0.0192,-0.0192,3325.0,102.0,-102.0,4.88693,0.098941,-0.098941,0.390989,0.0117402,-0.0117402
0,238.001011,-76.49349,-5.338,0.041,-0.041,-9.267,0.054,-0.054,2458630.77194,0.0028,-0.0028,9.30992,0.00209,-0.00209,3.464,0.232,-0.232,2220.0,1.39456,-1.39456,14.2968,0.777875,-0.777875,215.208,1067.0,9.4142,0.006,-0.006,416.25,5.019,-5.019,6907.0,135.5,-135.5,3.63,0.09,-0.09,3.09,0.14,-0.14
0,228.84306,-52.885989,-10.161,0.125,-0.125,-5.871,0.125,-0.125,2458643.10264,0.00488,-0.00488,4.73703,0.00453,-0.00453,3.902,0.481,-0.481,2410.0,1380.87,-1380.87,25.7144,10.2479,-10.2479,53821.0,4243.0,10.3918,0.01,-0.01,778.127,35.06,-35.06,11600.0,368.2,-368.2,4.13,0.07,-0.07,2.48,0.13,-0.13
0,242.016315,-68.588832,5.989,0.034,-0.034,2.514,0.049,-0.049,2458628.96316,0.0022,-0.0022,2.19296,0.0003,-0.0003,4.586,0.079,-0.079,4933.74,704.212,-704.212,22.7769,8.69015,-8.69015,31883.5,3722.0,10.0196,0.006,-0.006,566.502,11.2155,-11.2155,7009.8,184.2,-184.2,3.6,0.61,-0.61,2.95,0.16,-0.16
0,217.022882,-64.634285,-49.039,0.037,-0.037,-21.072,0.055,-0.055,2458601.38096,0.00061,-0.00061,1.1923,3e-05,-3e-05,3.119,0.024,-0.024,3730.0,297.774,-297.774,30.666,4.10377,-4.10377,40771.2,3958.0,9.0039,0.006,-0.006,209.919,1.7045,-1.7045,6534.0,136.4,-136.4,3.95,0.09,-0.09,2.04,0.09,-0.09
0,133.826684,-73.173308,-21.883,0.034,-0.034,19.084,0.046,-0.046,2459307.93577,0.002752,-0.002752,0.9209526,0.0001855,-0.0001855,1.8602735,0.4647613,-0.4647613,360.8801529,42.466145,-42.466145,5.7349089,4.2950416,-4.2950416,32740.3629399,3430.7622437,10.11,0.006,-0.006,490.288,5.048,-5.048,6553.0,136.4,-136.4,3.65,0.09,-0.09,2.8908899,0.125277,-0.125277
1,189.775859,-74.57402,-50.359,0.039,-0.039,-6.874,0.04,-0.04,2459376.410518,0.001678,-0.001678,9.188506,2.88e-05,-2.88e-05,2.492,0.153,-0.153,460.0,0.427735,-0.427735,2.16591,0.121765,-0.121765,63.4589,786.0,8.7215,0.006,-0.006,79.5561,0.14855,-0.14855,5876.0,124.0,-124.0,4.48,0.08,-0.08,0.98,0.04,-0.04
1,189.775859,-74.57402,-50.359,0.039,-0.039,-6.874,0.04,-0.04,2459344.461827,0.00261,-0.00261,13.9028391,0.0013871,-0.0013871,2.1264429,0.4109736,-0.4109736,647.2701039,70.93129,-70.93129,2.6136848,1.333298,-1.333298,77.4841883,756.6987586,8.7215,0.006,-0.006,79.5561,0.14855,-0.14855,5876.0,124.0,-124.0,4.48,0.08,-0.08,0.983215,0.0449925,-0.0449925
1,192.589285,-88.121111,-18.776,0.039,-0.039,-18.086,0.039,-0.039,2458629.909082,0.000837,-0.000837,10.1826983,1.29e-05,-1.29e-05,2.8275109,0.2582998,-0.2582998,667.4752458,45.255642,-45.255642,3.0538057,0.7958977,-0.7958977,198.394783,957.1991659,8.7581,0.006,-0.006,105.096,0.266,-0.266,6153.0,194.0,-194.0,4.34814,0.271419,-0.271419,1.14582,0.0509699,-0.0509699
0,9.126138,-83.567067,-0.23,0.054,-0.054,1.169,0.043,-0.043,2459044.494531,0.002861,-0.002861,20.0731588,8.61e-05,-8.61e-05,3.8449215,0.5039405,-0.5039405,1152.9645461,68.35146,-68.35146,4.0506906,1.0627592,-1.0627592,69.3993155,736.1368293,10.5135,0.006,-0.006,205.43,1.1895,-1.1895,6033.0,129.5,-129.5,4.37,0.08,-0.08,1.14849,0.0522613,-0.0522613
0,319.551469,-77.529113,16.363,0.037,-0.037,-5.515,0.047,-0.047,2459058.79277,0.00073,-0.00073,2.66903,1e-05,-1e-05,1.548,0.285,-0.285,3110.0,1.55398,-1.55398,9.36823,0.500837,-0.500837,429.86,1268.0,10.5891,0.006,-0.006,262.794,1.538,-1.538,5803.5,120.9,-120.9,4.07,0.08,-0.08,1.56,0.08,-0.08
0,263.003209,-76.858265,-33.273,0.035,-0.035,-100.013,0.038,-0.038,2458627.80423,0.00276,-0.00276,6.63371,0.00059,-0.00059,2.122,0.26,-0.26,1555.34,2.04117,-2.04117,2.75375,0.16093,-0.16093,22.9987,610.0,10.5652,0.006,-0.006,58.0624,0.07515,-0.07515,4138.1,94.2,-94.2,4.54,0.12,-0.12,0.63,0.03,-0.03
0,279.721286,-85.709137,147.495,0.214,-0.214,-42.057,0.258,-0.258,2459367.034327,0.003108,-0.003108,341.2811281,0.0045871,-0.0045871,6.303026,0.2728898,-0.2728898,972.5797241,54.08448,-54.08448,4.7531892,0.3291192,-0.3291192,121.1597998,846.173434,7.5622,0.006,-0.006,70.0154,0.6784,-0.6784,6058.6,110.5,-110.5,4.2,0.08,-0.08,1.39203,0.060098,-0.060098
1,155.607863,-82.218869,9.065,0.045,-0.045,2.896,0.041,-0.041,2459336.073646,0.000176,-0.000176,4.0782392,1.7e-06,-1.7e-06,4.8475616,0.0254922,-0.0254922,6046.6959687,29.462303,-29.462303,13.898174,0.6260191,-0.6260191,1619.0081232,1617.8267296,10.0068,0.006,-0.006,281.314,2.017,-2.017,6501.0,138.9,-138.9,4.08,0.09,-0.09,1.74836,0.0780452,-0.0780452
0,30.198486,-77.610376,58.003,0.047,-0.047,-33.25,0.036,-0.036,2459083.35168,0.00176,-0.00176,7.04083,3e-05,-3e-05,2.979,0.235,-0.235,1580.0,458.747,-458.747,8.46404,2.20234,-2.20234,852.336,1505.0,9.7906,0.006,-0.006,102.238,0.2185,-0.2185,5317.0,65.7,-65.7,4.49,0.08,-0.08,0.91,0.05,-0.05
